SID,label,sentence
91,-2.6,and then you will have something to sweat about .
92,-2.0,that 's whats here in Chicago .
93,-1.8,"# 182,000 Americans die from Chuck Norris - related accidents every year ."
94,0.2,i hope you can give me some suggest about my product .
95,1.8,it is not clear what you want to do where your confidence is lacking .
96,0.6,"Yes , I ' m a feminist ."
97,0.0,She never even had to speak a word .
98,-0.6,"For that matter , neither does the child ."
99,0.8,Best wishes and good luck .
100,-1.4,"Any episodes above 75 , it 's boring !"
101,-2.4,ask the old man next door ... he will `` help '' ya
102,-0.8,You have to make it attractive so people can see it immediately .
103,-0.8,Your angel is proud of you Marilyn
104,-0.8,Anyone outside the USA ?
105,-2.2,"No , then I could n't type well ."
106,-1.8,Good luck and shopping with a pre - approval in hand is smart !
107,-2.2,i ' m sorry .
108,-2.2,Irish I want to go ! ! ! !
109,-2.0,That 's how it used to be .
110,-0.6,The size does not matter !
111,0.6,"Seating will be on a first come , first served basis ."
112,-0.8,But he could never be trusted a gain .
113,-2.6,"( Sorry , I just had to write that ."
114,-2.0,"Or you can go to each picture , R click , DEL. ."
115,-1.0,"if anything , you should be coming out on the better end that way ."
116,-1.2,We ' ll liberate the Iraq if we have to kill every one of them .
117,1.4,The primary lesion may persist for 4 to 6 weeks and then heal spontaneously .
118,2.0,Could there be some basis for the legend placing Arthur at Tintagel ?
119,-2.6,i hope they are real earth needs alot of help right now .
120,-1.2,i would smoke a lucky strike
121,-3.0,"yup , welcome ... : p"
122,-2.4,do n't pull it out .
123,-2.2,better for what ?
124,-2.2,Pee in your pants
125,0.4,Then make sure to treat her once a month with flea drops like Advantage .
126,1.6,I disagree with every political stance she has ever taken .
127,-2.8,your allowed ... but it 's not something you should do .
128,1.0,I ' m afraid my sympathy waned when they reelected Nagin .
129,-1.6,just a little while ago i was thinking .
130,1.6,He also was interested in procuring handguns and missiles .
131,1.2,I ' ve also used Kodaks and they work nicely .
132,-2.6,the feeling is like ... like hevan ! ! ! ! ! !
133,0.4,Sometimes you have to say the truth even if it hurts .
134,-0.2,Type ` msconfig ' and then open ` Startup ' tab of the window .
135,-0.4,a virus free computer
136,-1.8,I ' m a big girl ( age wise ) and I love to dance .
137,-1.0,that way there is no confusion on where to go .
138,0.6,Some of the most common are : A male tuxedo cat .
139,-1.4,I love the way Garcia is playing .
140,-0.4,Please tell me I can be yours ?
141,-0.8,Use www . Limewire.com just download the software and its the best out there .
142,-2.2,i do not mind sharing this little secret with you .
143,0.6,"02/09/78 - Abducts Kimberly Ann Leach from her school in Lake City , Florida ."
144,-2.6,look at it .
145,-0.4,Call the police if need be
146,-2.6,you probably ca n't .
147,0.2,Oh what a tangled web we weave when first we practice to deceive !
148,0.8,"To me , this seems unlikely -- there is simply too much of it ."
149,-1.0,Maybe they were really big then so they had to .
150,0.2,Schedule time for school .
151,-2.0,you can finish in 8 .
152,-0.4,"Dear Gustava , My bank is a tube sock that fell behind the dryer ."
153,-1.0,come to america without proper clearance
154,-1.75,"( 1977 , Vol ."
155,-2.0,Line dancing the achy breaky in a country bar ?
156,-1.8,I guess I feel really sorry for him .
157,-0.6,try restarting your PC and going to Internet explorer .
158,-2.0,are you actually a female ?
159,-2.0,How can u tell me not to fall in friendship when u exist .
160,-0.2,Thanks for confirming what the Bible says .
161,0.2,You could easily walk one 20 minute session and do the DVD the other .
162,-2.2,you son needs to learn to self - soothe .
163,-0.2,Chuck Norris is the reason why Waldo is hiding .
164,-1.0,I ' m cheap when it comes to clothes .
165,-2.0,but that acetone makes my skin crawl .
166,-0.6,My daughter is 14 months old now and we are doing fine .
167,-1.8,It will look like you ' re trying to give twice as many gifts .
168,-0.25,Whats the personalty ?
169,0.4,"Yes , I can , but it 's not very lady - like ."
170,1.6,The fact remains that you were injured on the job .
171,-1.75,that 's out there .
172,0.8,All daily tasks fulfill survival needs .
173,0.6,the Warriors are very successful against the mavericks .
174,-0.75,"Mark `` Rent - boy '' Renton : And where are you going , Diane ?"
175,1.0,"To have a higher appreciation for the contents , I believe ."
176,-0.8,From mattupalayam you may go by toy train which is like in this train .
177,0.2,I think that would make both of you to feel more comfortable .
178,0.6,It 's a very easily transmissable virus .
179,-2.4,they eat leaves seeweed it depends on the turtle some eat other fish : )
180,-0.4,BAKE 55 to 60 minutes .
181,-1.4,well as we seem to be still pretty much a green country .
182,-1.8,"Hail Hail ( to all Bhoys AND Ghurls , worldwide ) Btw ."
183,-0.8,it makes my day go faster .
184,-1.8,I have never heard of a large dollhouse like that sorry = (
185,-0.333333333333,But be careful of how you spend them or on the weekend .
186,0.8,Place a chocolate drop in center of each .
187,-1.6,Madonna and The Hoff have to be joint second .
188,-0.4,Talk to him too so he can get to know your voice .
189,-0.8,I ' ll try my best .
190,-2.6,tell him repeatedly that big boys sleep in their own beds .
191,-2.8,is he even worth ur time ?
192,0.0,Bake covered in oven when almost cooked add sauce and remove foil .
193,1.0,accmail.ru German ( 9th Ed . )
194,-0.4,I swear by imitation crab meat for crab salads .
195,-1.6,did you have blood work ?
196,-2.8,that 's the stupidest suggestion EVER .
197,-0.2,Are they used ?
198,0.0,Cover the top of the meat with more soya sauce .
199,-1.2,Lol means laugh out loud .
200,-1.8,You want A 's .
201,-2.2,"My pick , LSU or Auburn ."
202,-0.4,If some of the butter is too firm mash it with a fork .
203,-0.4,fatigue or loss of energy nearly every day 7 .
204,0.2,Make sure that she has her facts correct .
205,0.0,Fibroid tumors have a lot to do with it !
206,-1.2,Get ready to cry !
207,-0.4,You want your heart rate to go up .
208,-1.0,we i got there he had no choice but to talk to me .
209,0.6,Spoon 1 teaspoon filling into center of each circle .
210,-0.6,So it is perfectly fine to morn the loss .
211,0.2,I would chose that one as your first .
212,-1.0,There really is no lower limit .
213,-2.0,a person with 4 years colledge .
214,-1.8,what 's you address ?
215,-0.8,I think that would be a beautiful sight !
216,-1.0,But one big one is `` Mmmbop '' by Hanson
217,-0.4,Check with you local DMV .
218,-1.8,"so , you do n't overload you senses ."
219,-2.5,it is n't strange .
220,-2.8,wtf popular girl .
221,0.6,Is this the first time that she has destroyed things ?
222,-0.6,But I will just get them one by one .
223,-0.4,I had a personal encounter with Christ and a relationship with him ever since .
224,1.0,"Any additional information , please contact : W&W Public Relations , Inc. , 732-469-5955"
225,-0.2,I got that bad in my first pregnancy .
226,-1.6,For me God is energy .
227,1.2,The sources I have listed below have all the information you could possibly need .
228,1.2,There is no Crane Lake Cellars .
229,-2.0,it helps a little ! !
230,-0.4,I would say men .
231,-1.4,I ' d cut it up first .
232,2.2,FINES WILL BE IMPOSED ON CARRIERS WHO BOARD TRANSIT PASSENGERS WITHOUT PROPER DOCUMENTATION .
233,-0.6,The size of a mans penis is an optical illusion to his body size .
234,-0.4,I can still hear his head hitting the steel steps . ''
235,-0.8,you are absolutly right .
236,-1.0,What happens when you drop something ?
237,-1.2,With BQ sauce .
238,0.2,Hannah means Grace of God
239,0.0,Supplements like evening primrose can also help .
240,-1.4,3 weeks maybe .
241,-2.0,Everyone is delt a poker hand .
242,-0.4,"I personally like a nice thick juicy steak , from cattle ."
243,-2.6,not a gud idea ... its offending
244,-3.0,ye deffo no doubt
245,-0.4,Ultimately that is the only cure .
246,-1.2,"Sneezing , coughing , runny watery eyes or eyes fille with pus ."
247,-1.2,Emu 's enjoy Eskimo escorts .
248,-1.0,every country in the world has beautiful women
249,-3.0,if u touch u have to wash ur self cleanly
250,-1.4,This was late at night .
251,0.4,They mark up the prices to offer reduced `` savings . ''
252,-2.2,do it ... communicate with the kid !
253,-0.4,otherwise call your dentist .
254,-1.8,"Because , have n't you heard ... ? ? ? ?"
255,-2.6,I do n't see why not .
256,-1.0,Chuck Norris can divide by zero .
257,0.2,The key is proper step by step planning .
258,-1.6,I got a friend who got a Dog which nursing a cat .
259,-0.6,She ' ll need it .
260,-2.6,it does n't deserve you anyways . ''
261,1.0,The Ohio State - Michigan winner will play Rutgers if they go undefeated .
262,0.0,And their emotions seem to vary more then mens .
263,-1.6,I did n't say it is but its SUPPOSE to be that way !
264,-1.5,http://mutcd.fhwa.dot.gov/pdfs/2003/Ch2B.pdf probably more than you wanted to know !
265,1.0,All porcupines float in water .
266,1.6,Tradegy will come when it will come .
267,2.0,( 2 ) Prohibited conduct .
268,0.0,Turn them inside out and machine wash cold delicate cycle .
269,-0.6,I mean RED .
270,0.0,There is no Skate Ranch piece for this goal .
271,-1.0,"My faovite quote for hard times is ... `` Remember , we all stumble ."
272,1.4,Large breeds of dogs tend to get parvo more often than smaller dogs .
273,0.8,"In RNA the 4 bases are Adenine , Cytosine , Guanine and Uracil ."
274,0.2,They are family oriented .
275,-1.8,How will it end ... ?
276,-2.33333333333,Where 's the best of answers special section ? ?
277,0.4,Vanity is what others have .
278,-0.6,Not Debbie Reynolds .
279,-1.0,"No and yes , yes they are ."
280,1.2,"No , he is a slave to the interpretations of the modern idiot/evangelist ."
281,1.4,The light sways back and forth and moves around on the horizon .
282,-2.6,i think its ` unique '
283,-2.5,"Please , please ."
284,-0.6,Give yourself enough time to recover before you work out again .
285,-0.2,I ' ll see if I have those recipes and get back to you .
286,-0.8,"Anyway , in whatever case , it is up to you ."
287,-0.75,I ' d go see a Chiro and have them take a look .
288,-1.8,try it out sometime
289,-0.5,Paul Lawrie for RADIO TRIVIA
290,0.2,Be sure to turn off the power BEFORE you start playing with the wiring .
291,-1.2,a teacher has no right to strike a child - ever.that is abuse
292,-1.8,"They did n't register , that means they would like cash !"
293,-1.4,There is no way .
294,1.4,Definition Consumer awareness is making the consumer aware of His/Her rights .
295,-0.6,yes and I rarely borrow anymore
296,0.6,Roll 15 balls into 15 six - inch ropes to make broomstick handles .
297,0.2,So many more events can be found at http://en.wikipedia.org/wiki/1948
298,-2.4,for me it 's 80 's and 90 's .
299,0.0,"Change is inevitable , except from a vending machine ."
300,-2.8,Because split ends are ugly
301,0.2,the comment `` we agree to disagree '' seems to apply in this case .
302,1.0,Il Duce : The question is not how far .
303,-2.8,lol nothing worrying about that .
304,0.0,It ' ll answer all of your questions about the easter bunny .
305,-2.2,yep get a big gun and sleep with it
306,-2.0,But he will never be with me .
307,-0.8,show them what you wrote here if its not too hard to do .
308,-2.8,I do and I ' m feeling so great I forget Y
309,-0.6,Use a chocolate food colouring for the nipple .
310,1.6,For every action there is an equal and opposite reaction .
311,-0.2,We ' ve only kept records for a short time in weather .
312,-0.2,They will fade away like a flower in the field .
313,-0.8,"If you go below that , they can sue you ."
314,-1.6,I ' m going to try that .
315,-1.4,definitely try it ... i think you will love the results .
316,-0.8,they may help you .
317,-0.8,So really it is n't the fat that keeps you alive .
318,-1.4,your not going to get her back until you put her first .
319,-2.4,its not the size its what you do with it that counts !
320,-1.8,After you beat Scotland everyone was thinking `` England are back ! ''
321,0.2,"Yes , I think Iran is on their list ."
322,-0.75,Bartlett 's quotations .
323,-2.0,_ ( ) _
324,-0.2,"Shred chicken meat , approximately 4 cups ."
325,1.0,"I close on a hopeful note , by repeating what I said above ."
326,-3.0,Sick Boy : Yeah .
327,1.2,"Roughly 14 days after ovulation , you have a period ."
328,-2.2,That 's right .
329,2.0,This never proved to be the case .
330,-0.4,We ' re devolving .
331,-1.0,see if that helps your speed .
332,0.4,The sun is a star .
333,-0.2,"When that happens , it 's a no - win situation for everyone ."
334,1.0,"Ho sent a letter to Truman , asking him to back Vietnam for independence ."
335,-2.6,its not gon na come off your new/old jeans .
336,0.0,Then you can call yourself heaven & hell .
337,-2.2,No ... he died 3 yrs ago .
338,-0.4,Chocolate covered strawberries .
339,-1.2,I ' m with stewie on this one
340,1.2,They are salvageable .
341,0.6,He was named Siddhatta which means `` Wish fulfilled '' .
342,2.4,These contractions form S - shaped curves that move down the body of the fish .
343,-0.4,Get her some tanktops to wear under shirts first .
344,-0.666666666667,( 3 ) Penalty .
345,1.0,Cut into little squares and pour into a bowl .
346,0.8,"In the course of doing so , you also consider ISO 's many guidelines ."
347,-1.2,Where did you check your connection speed ?
348,-0.6,No one owns any one style or color .
349,-0.8,Can you have a credit report if you ' ve never had credit ?
350,-1.5,Connor : Aye .
351,-0.6,use ccleaner from http://www.filehippo.com to clear cache .
352,-1.2,the 4100 is a clue .
353,-2.6,";-) They may be in love with one another , ever consider that ?"
354,-0.4,We just sent 3 to jail for the rest of their life .
355,-0.8,Stretch every day and EASE yourself into it .
356,-0.8,she knows she is being rescued
357,0.0,"Pappu : Tum so jayo maa , mein Jyoti ke pass ja raha hoon ."
358,-0.4,You will need a pencil and paper .
359,-2.0,"I ' m impressed that you have time to think , let alone worry !"
360,-0.2,A lot of people do that .
361,-0.4,That 's something you might consider .
362,-1.2,"PS a small suggestion , purchase a larger bottle of conditioner than shampoo if available"
363,-2.6,you ' ll be damned if you f# ck with me
364,0.6,Click on the link for details .
365,-2.0,Sarah 85 pretty much has u covered .
366,-0.8,no because it was a hypothetical question .
367,-1.0,use menthol toothpaste cover them with toilet paper or paper towels over night
368,1.4,Krishna is not supposed to have a limiting definition .
369,-2.6,I mean it !
370,-0.2,Open doors with your right hand .
371,-2.2,I would n't worry .
372,-0.8,`` Nochebuena is Christmas Eve ( December 24th ) .
373,-2.2,do this when ever you feel down .
374,0.2,"Oil/petroleum is burned , and the combustion releases a lot of heat ."
375,2.2,It may even be that although we can understand all of this intellectually .
376,-0.75,"If -45 = 3d , divide both sides by 3 ."
377,0.4,The lost tribe of Kennebunkport .
378,0.6,All I can make out is stinky fingers .
379,-0.4,Its sad because it could result horribly .
380,-0.4,put all that negative aggression to good use
381,-0.2,Did the doctor say exactly why ?
382,-1.8,it 's a Holiday Inn for terroists .
383,-0.4,"My older sister did have her first son circumcised , in 1982 ."
384,0.2,But yes i do agree with that home pregnancy test are good .
385,1.0,Yes when you are stressed or upset so is your baby
386,-2.0,keep her away from him
387,0.0,"7:05 am NY , USA"
388,-2.8,PLEASE DO N'T SHAVE YOU EYEBROWS !
389,1.0,Make sure to put the spoon at the top of her mouth .
390,-1.75,where the vertex is 3 and it openning down .
391,0.4,The question you have asked makes no sense .
392,-0.6,"People can not smell it , but cats do ."
393,-2.0,along with free domain name too !
394,0.2,1898 Edwin Prescott patents the roller coaster .
395,-1.8,"The heart pumping , momentum"
396,-1.8,Yes ... They do n't believe in the devil either .
397,0.2,Read all you can about budgies/parakeets and do all you can for your bird .
398,-2.0,Probably the doctors own for something .
399,2.0,"To get the latest edition , send e - mail to one of the addresses below ."
400,1.8,Today 's youth is denoted by energy - abundant and enormous energy .
401,-1.6,lust is healthier than love
402,0.6,SPAM is owned by Hormel .
403,0.0,It 's best to cancel the old one also while doing this https://edit.yahoo.com/config/delete_user
404,0.6,He quit 5 years ago and has had no relapses .
405,-0.4,Some people have no standards of proof and will believe anything .
406,-1.66666666667,anything you do n't have ; ; clothes .
407,-2.0,"256mb , plays damn near anything and is less than 200 bucks !"
408,-2.0,Not to that song .
409,0.4,I ' d look for a fire extinguisher .
410,0.4,I confronted him about this and he shrugged it off .
411,-0.2,Stop eating at least two hours before you go to bed .
412,0.6,I was up walking around just 2 days after the birth .
413,-1.0,Sounds like all you want are gifts .
414,-0.8,Just call the Municipal building where you got the ticket .
415,-1.6,Talk in complete sentences - sounds funny but it works .
416,-1.0,`` Dummy Drag '' This is a very minimal physical test .
417,0.0,Its a fantastic place to work .
418,-1.2,Never heard that one before .
419,-0.6,"Google Maps , Google Earth http://maps.google.com/ http://earth.google.com/"
420,-1.2,Just be carefull when you are doing a regedit .
421,0.6,A police officer found her body early the next morning in nearby woods .
422,1.2,"Also , women usually take better care of their health but this is changing ."
423,-1.4,here are two facts : 1 .
424,-2.6,hmmmmm i would be worried his ex and him unavailable
425,-2.6,you get a star .
426,-1.5,India Pincode is having six digit code .
427,-0.2,"No , I love them ."
428,-1.2,You can delete a question that is `` Open . ''
429,-1.8,if it was she sure she ' ll understand .
430,2.0,"a joule is the measurement of energy , ( J )"
431,-1.4,* * * * * p.s eggs are the highest quality bio ready available protein you can eat .
432,-0.2,Unit : kelvins .
433,-1.6,"change the oil , take care of the rest , it ' ll last ..."
434,-1.0,"Good luck , I know it is n't easy ."
435,1.0,That 's only one of many issues surrounding our election system .
436,1.4,"Yes , I do believe the question should have been removed ."
437,-0.4,Put her on the original brand of food and stick to that .
438,-1.8,Only had my video - phone for a week when someone stole it .
439,1.8,The information above has been given by a Professional Car Audio Installer .
440,0.0,Yes it is on the Atlantic Coast .
441,-2.4,it would n't be a good idea
442,-1.0,Because all the guys that play high school kids are over 20 years old .
443,2.2,"They conduct field research and analyze , interpret , and report their findings ."
444,-0.6,Measure from your toes to your chin .
445,0.0,"You should dig out the old loose grout , most of it ."
446,1.2,Does this disease run in families ?
447,-2.8,ur real smart ... ill tell u that much .
448,0.2,You can order it from the Fons and Porter website ( below ) .
449,-1.4,If they let me I would bring a cot and sleep there : )
450,-1.4,yes but not for 15 years or so .
451,0.8,These two make up the ecosystem .
452,-1.0,Do n't forget to add Trinidad & Tobago to your travel plans !
453,-2.8,oooo ive been lookin for some ... how many ?
454,-0.2,israel has no right to bomb the innocent civilians of palestine and lebanon .
455,-1.6,Tanay : I did have an opinion .
456,-1.8,"No , i think it 's kinda cool"
457,1.4,Do not call attention to people 's mistakes .
458,-1.4,"Join a club or two , do some service ."
459,-0.2,You are misinterpreting Jesus ' words to the disciples .
460,-1.0,Click on that and you will get your Yahoo ! Mail Beta .
461,-1.25,You ' re responded to your daughter 's needs .
462,-0.6,Depending on the situation a couple of things .
463,-3.0,"once ur signal is good to go , it is signing u back in ."
464,-1.2,Flourescents do n't put out much light .
465,-1.8,Not crazy about her singing but I love her dancing !
466,-0.666666666667,Tabhi 1 acche Truck Driver banoge .
467,-0.6,A copy was sold recently on ebay .
468,-1.6,"yes , it is ... I answered a ?"
469,-2.2,Boy : I hope we do too .
470,-2.4,* bow bow .
471,1.8,Fleas may also serve as vectors for cat - scratch and other zoonotic diseases .
472,1.2,Wildlife was plentiful .
473,0.6,Does n't it fail in its primary task if it drives away without you ?
474,-1.0,Add remaining oil to drippings .
475,1.0,It might help to read the aquarium vacuum 's instructions .
476,0.6,Which society are you talking about ?
477,-2.2,i ' ve heard conair sucks .
478,-2.0,why do they call eat .
479,0.6,"YOU are her Rock , her Refuge , her Fortress and her Deliverer ."
480,0.0,Just make several vanilla cakes and cut them to shape .
481,-1.0,Or just have a few very close friends and make it a small reception .
482,-2.8,Three ... That is so hard ... 1 .
483,0.6,God Bless you .
484,-3.0,I hoped this helped ya .
485,-0.8,This might help .
486,2.4,Each attempted replacement will count toward the 15 credit hour limit .
487,-1.0,i have been since the moment he took office .
488,0.4,This went so far as having their own portions of the script written .
489,-1.4,its possible if evryone was inside
490,-0.2,"Yes , as long as they get back and sign on ."
491,2.2,Antibiotics and anti - inflammatory drugs are given to treat possible septicemia .
492,-0.25,Some drink at the fountain of knowledge .
493,0.8,Press play and record and the recorder will output to the speakers .
494,-0.4,Regards Chris * * By the way how much you charge ?
495,-1.4,Straighten your ass out ; hope for the best .
496,-2.8,Back up here Baldo .
497,-2.8,If your not that age then you definatly need to see gp
498,-2.2,Of course its POSSIBLE no one saw you .
499,1.6,That is part of our make up .
500,-2.0,I think so ...
